m1,m2,x1_0,x2_0,v1_0,v2_0,t,x1_t,x2_t
8.5523871788828,5.3586872759096495,"[-1.406490494839229, -3.7010829252750055]","[-9.930949742506277, 9.135020352285391]","[-0.3274914052994209, 3.1581735349826072]","[3.145643782327266, -1.3207561988224636]",16.7883682791982,"[14.542316755965594, 56.07479833634879]","[8.65040928008799, -23.819683336238036]"
6.514647343051306,6.637715846559651,"[-0.9876306537218618, 5.708068010173484]","[1.3613687114963806, 3.1777150619755368]","[2.162621424029166, 4.972407042971005]","[-2.162548053625266, 3.296551949043481]",28.6979814957803,"[54.3149705099048, 127.66622101243973]","[-54.064467595292996, 118.13746018929254]"
3.0091196764045827,0.1940580055514572,"[0.41646482361298354, 5.3811482925985406]","[-3.845852047841083, -1.0761097765246461]","[-4.775428949229007, 0.9581003611934626]","[-3.9038060175059885, -1.1448224291131046]",5.427236662073699,"[-25.51056453327537, 10.55468288553888]","[-24.883153073425127, -6.881472989591389]"
5.484575306515751,1.8591336402919507,"[-5.937036387370536, 2.9965429200941784]","[-4.648312295316643, 7.216656875456035]","[-1.8168179977521226, -4.834105238441647]","[-0.956818488629569, 2.525055343175312]",36.78528272410626,"[-72.35316229244256, -172.88007780420008]","[-41.07249175701794, 94.35683807424417]"
5.034840500030088,2.341357897337346,"[-4.970294150736747, 2.046711072773224]","[-5.3946150973886375, -4.46091923682393]","[4.586289518465431, -1.1291489035692126]","[4.283792837443723, 4.933355470424891]",28.563762177728595,"[98.41889907829946, -22.225227342455604]","[176.34433985199723, 119.29240873908901]"
0.8638640491441053,2.8757193705515363,"[8.669026136987647, -4.790485691239981]","[-9.272334015988871, -5.945546331857057]","[3.8520789274336806, -4.774614098722692]","[-0.17203216481064132, 4.9475155233464]",35.91489050036691,"[146.49530086758148, -175.99258958620544]","[-15.294427017518132, 171.66052948778372]"
2.423785706895303,5.834673829851809,"[2.7304021182784695, 7.75850527219767]","[-0.8215395395648102, 4.262557916151357]","[3.9717064149363317, 3.0589695369767274]","[-2.4875011021774975, 2.9332479195570578]",12.580557165586997,"[50.817495749497304, 45.34591423857737]","[-31.33505547211827, 41.53671390162373]"
4.6776378406205845,2.3793274488623273,"[9.113761266211291, 9.492536373596813]","[6.681352336209347, -3.5060246384615983]","[-1.0023898802116338, -2.1712399150438912]","[-2.268665230862439, 3.589568920116241]",30.112185818412488,"[-25.837361985677735, -55.88997648715699]","[-52.261488168465306, 104.58714884511303]"
3.9011380534943263,9.746234413115342,"[-1.4573296385585692, -0.9634882724115741]","[0.9158680065458817, -5.011009453045963]","[2.790035541312613, 3.4627894316675274]","[-3.250505058912101, 0.8562121224119492]",8.461983109568937,"[21.36024268661855, 24.944569501710497]","[-26.272971590669307, 3.5927670697752263]"
3.093767841970319,4.225330809183934,"[-5.679135058573001, -9.468089765671541]","[-7.314848200294155, -8.859505973319488]","[-4.923473535568305, -4.535925599369236]","[2.6095496263614573, 4.466912809254364]",9.443626501134103,"[-53.04980940485909, -49.13931359493129]","[17.969602605184477, 31.007417863407397]"
2.0655209081183443,6.631311036401086,"[7.553364800964054, -4.826941533933948]","[-4.929718125624413, 1.9709496789159466]","[2.754586563787649, 1.308027483532089]","[-1.200658938819342, -2.0032380174970066]",31.63959944199512,"[91.8891299906737, 36.54135103123028]","[-42.04025734537077, -61.40534971253576]"
3.849938477182834,0.36103094306429573,"[0.7507942373017666, -9.785597598105953]","[1.796163142998461, 2.3305237317924554]","[4.652367421319662, 1.919663996760983]","[-1.025003700713837, 4.160373302939233]",42.597473469527394,"[198.82257304048252, 72.18834506374378]","[-40.721983408509786, 177.40736872048444]"
7.985730759245582,4.642819542468543,"[-2.3621376862960624, -6.336469137640417]","[-5.490176203890906, -1.2821013818035283]","[4.146115696287609, -2.9819055937316086]","[4.991610773922812, 0.902731375107698]",23.818171628682908,"[95.49686609445652, -73.02112931040801]","[114.93837485740698, 12.756361663585782]"
8.51749595636841,7.306036573406367,"[5.769147249208441, -8.483170282890054]","[-6.6996660855564105, -1.8337032386018048]","[1.3137263159591486, -2.045799614253061]","[3.5731246088078183, -1.8037604273687382]",26.36225394437706,"[44.9888042654845, -46.74128376805663]","[82.14850446725843, -67.65763537810608]"
2.398438068689051,6.69710403856834,"[9.58108666547411, 7.495062883963733]","[-6.3526674320291265, 2.1749671803702437]","[4.395034315980565, -2.5261306021034335]","[-4.3257986062106335, 3.3177067154729745]",21.558845730967523,"[103.58526778336204, -46.91795508572525]","[-99.34412310420339, 73.68390401475605]"
3.4388995039256653,9.45805807460199,"[8.205274169842493, -8.060772398758328]","[-9.470439096167755, 9.128451402471054]","[-1.4629548889925124, 2.7896998206399655]","[-2.4155569267924273, -0.4174042523034842]",10.860374397434555,"[-8.640539539489719, 22.501497110557338]","[-35.35612221039334, 4.498901454034446]"
6.904835464544645,1.9248360291318425,"[6.4527950401423375, 5.000954778649245]","[-9.882115263166451, 7.376292727222559]","[2.0461047472379637, 3.6219021202693362]","[-4.156484615300404, -0.7239554445466068]",21.330558293245172,"[49.82787590822802, 82.21441458917475]","[-97.57558044045766, -7.909195245613176]"
0.30348454350363774,1.8755407206459698,"[3.541970008866077, 2.415259360234913]","[-4.712836261622131, 5.917349973893458]","[2.9644030564263693, -1.1759508716358114]","[-4.791185942649453, -3.961087012372327]",8.579922022314925,"[28.805028920649693, -7.655265045415496]","[-45.79312160626033, -28.07154899607346]"
6.700391954273412,3.265339303324853,"[8.194204025419648, -5.5724669289097495]","[-7.485363809812682, -3.867851208585127]","[-3.788678871992621, -0.5662122846711117]","[-2.2706953201306987, -0.2947057103143971]",30.328944334203165,"[-97.81480481276097, -8.55689534255659]","[-94.61084595141492, -41.919768923689425]"
5.615860045329542,4.797067520666648,"[3.1625837832454913, 5.116215126956995]","[4.0356036023640165, 8.781296030632173]","[2.7560777881690024, 2.4569901168699984]","[-2.9557176312511446, 1.2316791657361374]",38.27361481883918,"[97.21927792616827, 110.14320444745397]","[-95.71136638370028, 43.05732860067947]"
2.5892111438995635,6.757029242363485,"[4.70383109965451, -8.75521934949134]","[-9.349853562043787, 8.869024388842785]","[-1.258728020585116, -3.415462011121102]","[2.3129240987018287, 3.2993256497643895]",14.036286350669458,"[-13.07855002998279, -56.273790379086904]","[23.15889183674478, 55.017663183558795]"
8.064604800388226,7.239506230202869,"[2.483813368957456, -2.431840682481125]","[-5.990487878833037, 3.964992241123362]","[3.8330027277056686, -1.9803367806288916]","[4.200539047915475, -3.860580145650129]",11.136450724509567,"[39.052008761084906, -27.406853349809236]","[47.603720469681676, -35.77415717469591]"
3.315204533652928,9.220603684192485,"[-2.021310531082083, -8.887214534455252]","[7.690298312840376, 5.999918036868577]","[-2.0896520780418557, 0.4287770384837657]","[-3.333634861915411, -1.183417668877512]",35.05184628753627,"[-141.61239940412207, -30.53338203254177]","[-85.30589755622734, -22.294598899885045]"
